;title;description;release_year;age_certification;genres;production_countries;seasons;imdb_score;imdb_votes
4153;Sing On! Germany;In this karaoke competition hosted by Palina Rojinski, contestants must hit the right note for a chance to win up to 30,000 euros.;2020;Unknown;['reality', 'music'];['DE'];1.0;5.5;138.0
4159;Holiday Secrets;A Christmas reunion becomes a gateway to the past in this three-part series that explores the intimate complexities of one family's history.;2019;Unknown;['drama'];['DE'];1.0;6.5;1156.0
4160;StarBeam;Zoey is excited to tackle second grade, but when danger beckons, she sneaks away and with her signature call out and transforms into StarBeam, the speediest, most powerful and most enthusiastic superhero to ever sip from a juicebox.;2020;TV-Y;[];['CA'];4.0;Unknown;Unknown
4166;Twogether;Travel show;2020;Unknown;['reality'];[];1.0;8.4;477.0
4169;Futmalls.com;Strange occurrences afflict a group of people after they purchase items on a shopping website from the future.;2020;TV-14;['scifi', 'thriller'];['TW'];1.0;6.5;186.0
4175;Lugar de Mulher;Four comedians from Brazil joke about sexuality, politics, religion and motherhood - and show that the woman's place is wherever she wants to be.;2019;Unknown;['comedy'];['BR'];1.0;4.7;39.0
4176;The Lies Within;Kim Seo-hui’s life is changed forever when her politician father dies in a car crash and her husband disappears – all in one day. She enters the world of politics and join hands with small-town detective Jo Tae-sik to uncover the truth when she finds out that the car crash might not have been an accident after all.;2019;Unknown;['drama', 'thriller'];['KR'];1.0;7.0;383.0
4178;Queer Eye: We're in Japan!;The team of Queer Eye take their gorgeous, uplifting make-over skills to the Land of the Rising Sun.;2019;TV-14;['reality'];['US'];1.0;8.2;2608.0
4189;The Smart Money Woman;Meet Zuri. She's living a fabulous life. Great car, gorgeous apartment, well paid job. Meet Zuri. Broken down car, an apartment she cant afford, a job she's about to lose. What's a broke girl to do. With her best friends Tami (the flighty fashion designer), Lara (the tough oil and gas executive), Adesuwa (the conservative lawyer), and Ladun (the fabulous housewife), Zuri grows a little, learns a lot and navigates her way to making better financial decisions and building wealth. This show tackles, debt, spending, the consumerist culture of the African middle class, the fear and misconceptions surrounding money and the lack of it, love, friendships, cultural and societal pressures and the roles they play in success. With each episode comes a Smart Money Lesson, there to help you work your way up the financial ladder.;2020;TV-MA;['drama'];[];1.0;6.2;112.0
4190;Tiffany Haddish Presents: They Ready;Tiffany Haddish introduces her favorite comedians in a series of stand-up performances.;2019;TV-14;['comedy', 'reality'];['US'];2.0;6.5;563.0
4191;Sing On! Spain;Six people compete for a 30,000 euro reward by singing popular songs.;2020;TV-G;['music', 'reality'];['ES'];1.0;6.1;133.0
4194;Los Briceño, una familia todo terreno;"This is the story of ""La Chiqui"", the youngest daughter of a family of truckers. In this universe of trucks, where macho men, popular music, and roadside love stories rule, ""La Chiqui"" gets pregnant. Her father kicks her out of her family home, forcing her to face a world where no one believes in her because she is a woman. However, she will manage to get ahead with her job, becoming a respected woman in her guild.";2019;Unknown;['drama'];['US'];2.0;7.8;136.0
4195;A Thousand Goodnights;To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way.;2019;Unknown;['family', 'drama'];['TW'];1.0;8.0;94.0
4200;Larry Charles' Dangerous World of Comedy;Legendary comedy writer and director Larry Charles travels the world in search of humor in the most unusual, unexpected and dangerous places.;2019;TV-MA;['documentation', 'comedy'];['US'];1.0;7.3;576.0
4202;A Queen Is Born;What happens when two godmothers decide to help aspiring drag queens and drag kings?;2020;Unknown;['reality'];['BR'];1.0;6.0;151.0
4204;YooHoo to the Rescue;In a series of magical missions, quick-witted YooHoo and his can-do crew travel the globe to help animals in need.;2019;TV-Y;['animation', 'family'];['KR'];3.0;6.8;54.0
4212;Narcoworld: Dope Stories;Documentary series that follows police officers as they hunt out drug smugglers around the world;2019;TV-MA;['documentation', 'crime'];['US'];1.0;6.6;323.0
4220;Sleepless Society NYCTOPHOBIA;Thai Horro Drama.;2019;TV-MA;['thriller', 'drama'];['TH'];1.0;5.6;46.0
4226;I'm with the Band: Nasty Cherry;In an unfiltered, intimate docuseries, pop star mentor Charli XCX finds out what it takes to build -- and break -- a real, badass all-girl punk band.;2019;TV-MA;['documentation', 'reality'];['US'];1.0;Unknown;Unknown
4229;Taj Mahal 1989;In and around Lucknow University in 1989, couples of varying ages explore the politics of love through marriage, budding romances and friendships.;2020;Unknown;['drama', 'comedy', 'romance'];['IO'];1.0;7.4;1542.0
4231;Juman;"This series has a Middle Eastern ""Romeo & Juliet"" theme. Juman and Hisham fall in love and marry, against their families' advice. With familial pressures and differences in their understanding, their love is sorely tested.";2019;TV-PG;['romance', 'drama'];['KW'];1.0;5.0;120.0
4233;J-Style Trip;Megastar Jay Chou joins his A-list friends in this globe-trotting variety show packed with music and magic tricks.;2020;TV-14;['reality'];['TW', 'CN'];1.0;5.0;114.0
4242;The Underclass;After getting dropped from an elite program, a student gets tangled in the affairs of a high school gang while trying to find her own identity.;2020;TV-MA;['drama'];['TH'];1.0;6.5;64.0
4247;GAME ON: A Comedy Crossover Event;Worlds collide in this special event featuring familiar faces, surprise cameos and stories of spirited competition from four different comedy series.;2020;TV-G;['comedy', 'family'];['US'];2.0;5.5;219.0
4263;Crime Diaries: The Candidate;In 1994, Mexican presidential candidate Luis Donaldo Colosio's assassination sends his dying widow racing to uncover who did it.;2019;TV-MA;['thriller', 'war', 'drama', 'crime'];['MX'];1.0;7.5;813.0
4264;Sakho & Mangane;Two cops with very different methods, solving mysterious murder cases surrounded by black magic.;2019;TV-MA;['action', 'comedy', 'crime'];['SN'];1.0;6.3;135.0
4265;Secreto bien guardado;In the summer of 1940, Amalia, a young high-class Jew discovers love with Marthin Muller, a Nazi officer.;2019;TV-MA;['drama', 'romance'];['AR'];1.0;5.0;195.0
4273;Legend Quest: Masters of Myth;When mythical creatures come to life, it's up to Leo Teodora, Don Andrés and Alebrije -- super-secret monster hunters -- to save the day;2019;TV-Y7;['animation', 'action'];['MX'];1.0;7.5;128.0
4277;Once Upon A Time;'And So It Happened' is a series that deals with the different problems women have been facing in Egypt, especially in the Southern parts, between the years 1918 and 2018, showing the difference in ideas and traditions.;2019;TV-14;['drama'];['EG'];1.0;Unknown;Unknown
4280;Hello Ninja;"When Wesley puts his hands together, bows to his reflection and says the words, ""Hello, Ninja"" his surroundings instantly transform into an enchanting Ninja world.";2019;TV-Y;['family', 'fantasy', 'animation', 'action', 'comedy'];['CA'];4.0;6.8;119.0
4283;True: Terrific Tales;Through the magic of the Story Spinner, True and her friends create their own versions of Pinocchio, Little Red Riding Hood and other classic tales.;2020;Unknown;['animation', 'family'];['US'];1.0;6.2;24.0
4296;Singapore Social;Peer into the lives of young Singaporeans as they defy expectations and traverse the tricky terrain of career, romance and family.;2019;Unknown;['reality'];['US'];1.0;4.7;2197.0
4297;Living Undocumented;Eight undocumented families' fates roller-coast as the United States' immigration policies are transformed.;2019;TV-MA;['documentation'];['US'];1.0;6.6;580.0
4304;Oldsters;Three friends in their 70s step out of retirement to become a band of outlaws whose mission is to help those let down by the justice system.;2020;TV-MA;['comedy'];['CL'];1.0;Unknown;Unknown
4305;The Fabulous Lives of Bollywood Wives;Cameras follow the banter and bonding between four fun-loving women from Bollywood's inner circle as they juggle professions, family and friendship.;2020;TV-MA;['reality', 'documentation', 'romance'];['IN'];1.0;4.7;9695.0
4311;Holiday Home Makeover with Mr. Christmas;Mr. Christmas, a veteran in the interior design industry with a healthy obsession with the holiday season, takes you behind the scenes as he puts his design expertise and vast Christmas collection to good use.;2020;TV-G;['reality'];['US'];1.0;5.8;293.0
4313;Hasmukh;A timid, small-town comedian's long-awaited big break takes a dark turn when he realizes committing murder is the only way to keep his onstage mojo.;2020;TV-MA;['comedy', 'crime', 'drama'];['IN'];1.0;5.3;2680.0
4318;Sugar Rush Christmas;"It's everything you love about ""Sugar Rush"" -- with a holly jolly holiday twist -- in this Christmas-themed spin on competitive baking.";2019;TV-PG;['reality'];['US'];2.0;6.8;590.0
4320;Happy Jail;The jail in the Philippines made famous for a viral Michael Jackson dance video comes under the management of an ex-convict which causes some controversy;2019;Unknown;['documentation'];[];1.0;6.9;249.0
4325;Cricket Fever: Mumbai Indians;Follow Indian Premier League champions Mumbai Indians through the 2018 season in this series featuring insider insights and intense cricket action.;2019;TV-MA;['documentation', 'sport'];['IN'];1.0;7.2;710.0
4327;Buddi;The Buddis bounce, spin, glide and giggle through their magical world, learning new things and sharing the joy of friendship.;2020;TV-Y;['family', 'fantasy', 'animation', 'comedy'];['US'];2.0;7.2;58.0
4330;Chico Bon Bon: Monkey with a Tool Belt;STEM children's series focusing on construction and how mechanical things work.;2020;Unknown;['animation'];['US'];4.0;Unknown;Unknown
4331;Felipe Esparza: Bad Decisions;Two live performances, one in English and one in Spanish. No matter the language, Felipe Esparza is muy muy.;2020;TV-MA;['comedy'];['US'];1.0;5.3;176.0
4333;Mighty Little Bheem;An innocent toddler’s boundless curiosity -- and extraordinary might -- lead to mischief and adventure in his small Indian town.;2019;TV-Y;['animation', 'comedy', 'family', 'fantasy'];['US'];3.0;6.4;252.0
4335;Tobot Galaxy Detectives;Young detective Tyler King tackles all kinds of mysteries with his friends, the Galaxy Detectives.;2020;TV-Y7;['animation'];[];2.0;6.7;14.0
4346;Find Yourself;A determined entrepreneur navigates a love triangle between a young charmer and an older executive, leading her down an unconventional path to love.;2020;TV-14;['drama', 'romance'];['CN'];1.0;7.7;212.0
