;title;description;release_year;age_certification;genres;production_countries;seasons;imdb_score;imdb_votes
1226;Magic of Disney's Animal Kingdom;Magic of Disney’s Animal Kingdom gives viewers a backstage pass to explore the magic of nature within Disney’s Animal Kingdom Theme Park, Disney’s Animal Kingdom Lodge and The Seas with Nemo & Friends at EPCOT. Each episode dives into the details, unveiling the multifaceted aspects of animal care, conservation and Disney Imagineering and showcases the parks’ magnificent array of more than 300 species and 5,000-plus animals and the herculean tasks their animal care experts undertake to keep things running day and night.;2020;TV-PG;['documentation', 'reality'];['US'];1.0;8.2;314.0
1227;The Wonderful World of Mickey Mouse;It's nothing but fun and excitement for Mickey and his best pals – Minnie, Donald, Daisy, Goofy and Pluto - as they embark on their greatest adventures yet, navigating the curveballs of a wild and zany world where the magic of Disney makes the impossible possible.;2020;TV-G;['family', 'fantasy', 'comedy', 'scifi', 'western', 'animation'];['US'];2.0;7.8;949.0
1228;One Day at Disney;Discover what it’s like to report to work every day for The Walt Disney Company. Step behind the scenes to immerse yourself in one “ordinary” day at Disney.;2019;TV-PG;['documentation'];['US'];1.0;7.3;517.0
1229;Dog: Impossible;Dog behavior specialist Matt Beisner and his team help owners learn how to handle their aggressive and misunderstood animals, and rescue and rehabilitate dogs from local shelters that have been turned away by other facilities.;2019;TV-PG;['documentation'];['US'];2.0;Unknown;Unknown
1230;Dr. T, Lone Star Vet;Dr. Lauren Thielen (Dr. T) is back home in Texas to open her very own exotic animal practice, located alongside one of the state's largest and busiest animal hospitals. With the support of the ER staff and more than a dozen specialists, she treats everything from emus to hedgehogs and everything in between!;2019;TV-PG;['reality'];['US'];1.0;8.3;92.0
1233;Secrets of the Zoo: Tampa;Embrace the wild side of the Sunshine State with a stellar zoo team devoted to the exotic cast of animals.;2020;TV-14;['documentation', 'family'];['US'];3.0;8.7;66.0
1237;Disney Insider;This series peels back the curtain of The Walt Disney Company like never before. Tune in each week as the series takes viewers behind the movies, theme parks, destinations, music, toys, and more. Each episode offers three unique stories that capture the magical moments and heartfelt storytelling that is Disney.;2020;TV-Y7;['documentation'];['US'];1.0;6.5;285.0
1238;Wild Central America;Join narrator Nigel Marven as he discovers the colourful and varied wildlife and culture of Central America.;2020;TV-PG;['documentation'];['GB'];1.0;Unknown;Unknown
1240;Encore!;Executive producer Kristen Bell, who also appears, reunites the cast of a high school musical and asks them to perform it again years later. Each former student reprises their role from their original production under the tutelage of Broadway directors, choreographers and voice coaches.;2019;TV-PG;['reality'];['US'];1.0;7.6;626.0
1243;Out There with Jack Randall;Zoologist Jack Randall journeys into Australia's Outback to encounter extraordinary wildlife.;2019;TV-14;['documentation'];['US'];1.0;6.5;72.0
1245;Sydney to the Max;Outgoing 13-year-old Sydney is on the fast track to growing up, despite the goodhearted efforts of her protective father, Max. As Sydney attempts to spread her wings and make more decisions for herself, Max does everything he can to rein her in and keep her his little girl. But in so doing, his mother, Judy, is reminded of his own antics at Sydney's age, and the parallels -- illustrated by comical flashback sequences starring a young Max -- are both amusing and enlightening.;2019;TV-G;['comedy', 'family'];['US'];3.0;6.2;563.0
1246;Zenimation;Unplug, relax, and refresh your senses for a moment of mindfulness with Walt Disney Animation Studios’ Zenimation - an animated soundscape experience.;2020;TV-G;['scifi', 'animation', 'family'];['US'];2.0;7.4;416.0
1247;Kingdom of the Mummies;The series follows a team of archaeologists led by Ramadan Hussein from Germany’s Eberhard Karls University of Tübingen, in conjunction with Egypt’s Ministry of Tourism and Antiques, as they uncover the country’s first known fully intact funeral home.;2020;TV-14;['documentation'];['US', 'GB'];1.0;7.4;105.0
1248;Fast Layne;Twelve-year-old overachiever Layne finds her orderly life thrown into a tailspin when she discovers a sophisticated talking car named “V.I.N.” hidden in an abandoned shed. With the help of her eccentric neighbor Zora, Layne embarks on a high-speed adventure filled with bad guys, secret agents and other surprises to unlock the mystery behind V.I.N.’s creation.;2019;TV-G;['action', 'comedy', 'scifi', 'thriller'];['US'];1.0;5.2;232.0
1250;Wild Cats of India;India's wildcats have been symbols of strength & royalty since the ancient times. Despite the reverence they evoke and their own adaptability & prowess, these cats have been pushed to the brink. Yet, they are the last hope for protecting the country's wild spaces. Two years in the making, 'Wild Cats of India' has journeyed across country's contrasting landscapes with an ambition to paint an intimate portrait of the intriguing lives of wildcats.;2020;Unknown;['documentation'];['IN'];1.0;7.6;44.0
1251;Marvel's Hero Project;This 20-episode series shares the remarkable, positive change several young heroes are making in their own communities across the country. These inspiring kids have dedicated their lives to selfless acts of bravery and kindness, and now, Marvel celebrates them as the true Super Heroes they are by welcoming them into Marvel's Hero Project.;2019;TV-G;['documentation', 'reality'];['US'];1.0;6.1;159.0
1252;Alaska Animal Rescue;Dedicated first responders, veterinarians and animal caretakers from the Alaska SeaLife Center, the Alaska Raptor Center and the Alaska Wildlife Conservation Center brave dangerous terrain and unforgiving climates to respond to animals in need.;2020;Unknown;['reality', 'documentation'];['US'];2.0;9.0;36.0
1253;Pick of the Litter;Ups and downs of an adorable group of six dogs on their fascinating and surprisingly suspenseful quest to become guides for Guide Dogs for the Blind, the ultimate canine career.;2019;TV-PG;['documentation', 'family'];['US'];1.0;8.0;153.0
1256;Marvel's Ultimate Comics;Spider-Man and Iron Man team-up to defeat a energized Batroc the Leaper. Black Panther battles agains super-villain, Ghost.;2019;Unknown;[];['US'];1.0;Unknown;Unknown
1257;Prop Culture;Film historian and prop collector Dan Lanigan reunites iconic Disney movie props with the filmmakers, actors, and crew who created and used them in some of Disney’s most beloved films. Throughout this journey, Dan will recover lost artifacts, visit private collections, and help restore pieces from the Walt Disney Archives to their original glory.;2020;TV-PG;['documentation'];['US'];1.0;Unknown;Unknown
1258;Made in A Day;The last decade has seen a revolution in manufacturing. A just in time economy means the products we love are being made on a massive scale in record time. While lightening logistics mean global trade and distribution happens faster than ever. This is the story of how some of today's biggest brands, from Tesla Cars to Gibson Guitars, from Tabasco Sauce to Space Rockets, are made in America.;2020;Unknown;['documentation'];['GB', 'US'];1.0;7.1;25.0
