;title;description;release_year;age_certification;runtime;genres;production_countries;imdb_score;imdb_votes;platform
5947;Translated;"Act 1: ""Paul"" travels to the future and people question who he is. Act 2: Paul learns English and wants to observe contemporary Christianity. Act 3: Paul's credibility is attacked.";2018;Unknown;117;['drama'];['US'];7.1;105.0;Amazon Prime
10359;Batman Returns;While Batman deals with a deformed man calling himself the Penguin, an employee of a corrupt businessman transforms into the Catwoman.;1992;PG-13;126;['fantasy', 'action', 'crime'];['US'];7.1;299754.0;HBO Max
15307;Rescued by Ruby;Chasing his dream to join an elite K-9 unit, a state trooper partners with a fellow underdog: clever but naughty shelter pup Ruby. Based on a true story.;2022;Unknown;93;['family', 'drama'];['CA'];7.1;7485.0;Netflix
15284;The Unforgivable;A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.;2021;R;112;['drama', 'crime'];['GB', 'US', 'DE'];7.1;105353.0;Netflix
6480;The Courier;Businessman Greville Wynne is asked by a Russian source try to help put an end to the Cuban Missile Crisis.;2020;PG-13;112;['war', 'drama', 'history', 'thriller'];['US', 'GB'];7.1;54929.0;Amazon Prime
12505;Whisky;When his long-lost brother resurfaces, Jacobo, desperate to prove his life has added up to something, looks to scrounge up a wife. He turns to Marta, an employee at his sock factory, with whom he has a prickly relationship.;2004;Unknown;99;['comedy', 'drama'];['AR', 'DE', 'UY', 'ES'];7.1;6293.0;Netflix
9456;Phineas and Ferb: The Movie: Candace Against the Universe;Phineas and Ferb travel across the galaxy to rescue their older sister Candace, who has been abducted by aliens and taken to a utopia in a far-off planet, free of her pesky little brothers.;2020;G;84;['comedy', 'action', 'fantasy', 'scifi', 'animation', 'family', 'thriller'];['US'];7.1;4302.0;Disney+
10705;Lords of Dogtown;The radical true story behind three teenage surfers from Venice Beach, California, who took skateboarding to the extreme and changed the world of sports forever. Stacy Peralta, Tony Alva and Jay Adams are the Z-Boys, a bunch of nobodies until they create a new style of skateboarding that becomes a worldwide phenomenon. But when their hobby becomes a business, the success shreds their friendship.;2005;PG-13;107;['drama', 'sport', 'european'];['DE', 'US'];7.1;54828.0;HBO Max
15411;7 Prisoners;An impoverished teen seeking to escape the clutches of a human trafficker must weigh living up to his moral code against his struggle to survive.;2021;R;93;['drama', 'crime'];['BR'];7.1;6877.0;Netflix
4304;The Sheik;When Khosrow Vaziri became the World Wrestling Federations Iron Sheik and camel-clutched his way to fame in the 1980s, he achieved the American Dream by personifying a foreign villain. Losing his world championship belt to Hulk Hogan became a defining moment in professional wrestling. These days, the Sheiks smackdowns are on Twitter, where hes gained a new following.  Once an Olympic hopeful, bodyguard to Irans Shah and pop culture icon, we witness Vaziri struggling with addiction and despair as a family man. But with the help of Torontos Magen brothers, the Sheik begins a road to redemption and renewed status as a public figure.  Showcasing his powerful past and at times painful present, this is an insightful look at one of wrestlings biggest stars, but also a powerful story of personal sacrifice that, in the Sheiks own words, will make you humble.;2014;Unknown;95;['documentation'];['CA'];7.1;1190.0;Amazon Prime
9220;Iron Man 3;When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.;2013;PG-13;130;['action', 'scifi'];['US'];7.1;824912.0;Disney+
9490;The Lost City Of Machu Picchu;An investigation into the mysterious people who built Machu Picchu, the 15th-century Inca citadel located in southern Peru.;2019;PG-13;44;['documentation', 'history'];['US'];7.1;68.0;Disney+
4298;Craig Ferguson: I'm Here to Help;Craig Ferguson unleashes his trademark stream-of-consciousness comedy before a sold-out crowd, riffing on fatherhood, Helen of Troy and shark penises. His show's not safe for kids -- or the easily offended.;2013;Unknown;81;['comedy', 'documentation'];['US'];7.1;813.0;Amazon Prime
10330;The Mummy;Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.;1999;PG-13;124;['fantasy', 'action'];['US'];7.1;415448.0;HBO Max
15367;Final Account;A depiction of the last living generation of German participants in Adolf Hitler’s Third Reich.;2021;PG-13;94;['documentation'];['GB', 'US'];7.1;1042.0;Netflix
10350;The Birdcage;A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancé's conservative moralistic parents.;1996;R;117;['comedy'];['US'];7.1;87961.0;HBO Max
15341;The White Tiger;An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.;2021;R;125;['drama', 'crime'];['SG', 'US', 'IN'];7.1;59441.0;Netflix
4283;Starring Adam West;A documentary following the career ups and downs of television's Batman as his confidants fight to get him a star on the Hollywood Walk of Fame.;2013;Unknown;98;['documentation', 'history', 'comedy'];['US'];7.1;550.0;Amazon Prime
6515;One Night in Miami...;In the aftermath of Cassius Clay's defeat of Sonny Liston in 1964, the boxer meets with Malcolm X, Sam Cooke and Jim Brown to change the course of history in the segregated South.;2020;R;114;['drama'];['US'];7.1;31202.0;Amazon Prime
